allocine_id,titre,annee,acteur
31357,La révolution française,1792,Klaus Maria Brandauer
31357,La révolution française,1792,François Cluzet
31357,La révolution française,1792,Jean-François Balmer
2186,Le Cabinet du docteur Caligari,1922,Werner Krauss
2186,Le Cabinet du docteur Caligari,1922,Conrad Veidt
2186,Le Cabinet du docteur Caligari,1922,Lil Dagover
2239,L'Inhumaine,1924,Jaque Catelain
2239,L'Inhumaine,1924,Georgette Leblanc
240,Metropolis,1927,Brigitte Helm
240,Metropolis,1927,Alfred Abel
240,Metropolis,1927,Rudolf Klein-Rogge
115,L'Aurore,1928,George O'Brien
115,L'Aurore,1928,Janet Gaynor
115,L'Aurore,1928,Margaret Livingstone
7113,Les Ailes,1928,Clara Bow
7113,Les Ailes,1928,Charles Buddy Rogers
7113,Les Ailes,1928,Richard Arlen
82,L'Ange bleu,1930,Marlene Dietrich
82,L'Ange bleu,1930,Emil Jannings
82,L'Ange bleu,1930,Kurt Gerron
2595,La Chienne,1931,Janie Marèse
2595,La Chienne,1931,Michel Simon
2595,La Chienne,1931,Georges Flamant
45978,"Tarzan, l'homme singe",1932,Johnny Weissmuller
45978,"Tarzan, l'homme singe",1932,Neil Hamilton
45978,"Tarzan, l'homme singe",1932,Maureen O'Sullivan
2143,Boudu sauvé des eaux,1932,Charles Granval
2143,Boudu sauvé des eaux,1932,Marcelle Hainia
2143,Boudu sauvé des eaux,1932,Max Dalban
296,Scarface,1933,Paul Muni
296,Scarface,1933,Ann Dvorak
296,Scarface,1933,Karen Morley
15168,Amour défendu,1933,Robert Graves
15168,Amour défendu,1933,Claude Kingston
15168,Amour défendu,1933,Barbara Stanwyck
727,King Kong,1933,Fay Wray
727,King Kong,1933,Robert Armstrong
727,King Kong,1933,Bruce Cabot
3908,La Grande Muraille,1933,Barbara Stanwyck
3908,La Grande Muraille,1933,Walter Connolly
3908,La Grande Muraille,1933,Nils Asther
1269,La Soupe au canard,1934,Groucho Marx
1269,La Soupe au canard,1934,Harpo Marx
1269,La Soupe au canard,1934,Chico Marx
1557,New York-Miami,1934,Clark Gable
1557,New York-Miami,1934,Claudette Colbert
1557,New York-Miami,1934,Ward Bond
6812,L'Homme qui en savait trop,1935,Peter Lorre
6812,L'Homme qui en savait trop,1935,Leslie Banks
6812,L'Homme qui en savait trop,1935,Edna Best
6448,La Bandera,1935,Annabella
6448,La Bandera,1935,Robert Ozanne
6448,La Bandera,1935,Maurice Lagrenee
485,Le Chat noir,1936,Boris Karloff
485,Le Chat noir,1936,Bela Lugosi
485,Le Chat noir,1936,David Manners
