"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
2010-06-16,134542,"Fatal",NA,"16 juin 2010","1h 35min","Comédie, Musical","Michaël Youn","Michaël Youn, Dominique Gauriaud","Michaël Youn, Stéphane Rousseau, Isabelle Funaro","Fatal... c'est Fatal Bazooka, un rappeur bling-bling et hardcore. En fait, un personnage de sketch créé par Michaël Youn dans son show-télé ""Morning Live"", puis développé dans l'album ""T'as vu"" vendu à plus de 500 000 exemplaires. Ce film raconte ce que serait devenu ce rappeur s'il en avait vendu... 15 millions ! Fatal est désormais une énorme star. Des millions de fans, des dizaines de tubes, 4 Music Awards de la Musique du meilleur artiste de l'année, une ligne de vêtements, un magazine et prochainement l'ouverture de son propre parc d'attraction : Fataland. Il est le N°1 incontesté. En apparence tout va bien... mais en réalité, Fatal ne sait plus où il va, parce qu'il ne sait plus d'où il vient : depuis ses débuts, il fait croire qu'il a grandi dans le ghetto... alors qu'en fait, il est né dans un petit village de Savoie, en plein coeur des Alpes. Mais on ne peut pas être un ""gansta"" quand on est un fils de bergers de Savoie, alors Fatal a préféré cacher ses origines et oublier son passé...","France","2009","Universal Pictures International France","Long métrage","Français","13 000 000 EUR","1 196 899 entrées","Couleur","-",2.8,2.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=134542.html"
2010-06-16,133588,"L'Agence tous risques","The A-Team","16 juin 2010","1h 54min","Action, Comédie","Joe Carnahan","Skip Woods, Brian Bloom","Liam Neeson, Bradley Cooper, Jessica Biel","Aucune équipe ne ressemble à celle de L’Agence Tous Risques. Quatre hommes, hyper qualifiés et autrefois membres respectés d’une unité d’élite de l’armée, sont chargés d’une mission classée top-secret destinée à les piéger, et qui les conduit en prison pour un crime qu’ils n’ont pas commis. Mais la somme de leurs talents leur permet une évasion sans accroc. Devenus des rebelles, ils décident de blanchir leurs noms et de retrouver les vrais coupables.","U.S.A.","2010","Twentieth Century Fox France","Long métrage","Anglais, Français, Espagnol, Swahili","110 000 000 USD","1 179 449 entrées","Couleur","-",3.2,3.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=133588.html"
2010-06-16,111720,"Bébés",NA,"16 juin 2010","1h 16min","Documentaire","Thomas Balmès","abonnement","Bayar, Hattie, Ponijao","Une année dans la vie de quatre bébés. Du jour de leur naissance à leurs premiers pas. Suivre quatre bébés dans quatre pays différents (Namibie, Mongolie, Japon, Etats-Unis), simultanément, jour après jour, les voir grandir, se développer et découvrir le monde qui les entoure.","France","2010","StudioCanal","Long métrage","Anglais, Japonais, Mongol","-","244 105 entrées","Couleur","-",3.2,3.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=111720.html"
2010-06-16,120782,"L'Illusionniste",NA,"16 juin 2010","1h 20min","Animation, Drame","Sylvain Chomet","Jacques Tati, Sylvain Chomet","Jean-Claude Donda, Edith Rankin, Raymond Mearns","À la fin des années 50, une révolution agite l’univers du music-hall : le succès phénoménal du rock, dont les jeunes vedettes attirent les foules, tandis que les numéros traditionnels – acrobates, jongleurs, ventriloques – sont jugés démodés. Notre héros, l’illusionniste, ne peut que constater qu’il appartient désormais à une catégorie d’artistes en voie de disparition. Les propositions de contrats se faisant de plus en plus rares, il est contraint de quitter les grandes salles parisiennes et part avec ses colombes et son lapin tenter sa chance à Londres. Mais la situation est la même au Royaume-Uni : il se résigne alors à se produire dans des petits théâtres, des garden-parties, des cafés, puis dans le pub d’un village de la côte ouest de l’Écosse, où il rencontre Alice, une jeune fille innocente qui va changer sa vie à jamais.","France, Grande-Bretagne","2010","Pathé Films","Long métrage","Anglais, Français, Autre","11 000 000",NA,"Couleur","116940",4.1,3.6,"https://www.allocine.fr/film/fichefilm_gen_cfilm=120782.html"
2010-06-16,140592,"Baaria","Baaria - La Porta del Vento","16 juin 2010","2h 30min","Comédie dramatique","Giuseppe Tornatore","Giuseppe Tornatore","Francesco Scianna, Margareth Madé, Nicole Grimaudo","Surnommée Baaria par ses habitants, cette petite ville de la province de Palerme est le théâtre d’une saga familiale qui s’étend sur trois générations.

Des années 30 aux années 80, de Cicco à son fils Peppino, et à son petit-fils Pietro, Baaria nous entraîne dans une odyssée peuplée de personnages habités par des passions et des utopies qui les imposent comme de véritables héros. À travers leurs amours, leurs rêves et leurs désillusions, cette fable drôle et nostalgique dresse le portrait d’une petite communauté sicilienne, microcosme où se joue une comédie humaine universelle.

Durant la période fasciste, sa condition de simple berger laisse à Cicco la liberté de s’adonner à ses passions : les livres, les poèmes épiques, les grands romans d’amour populaires. Son fils Peppino va être le témoin de la famine et des injustices perpétrées pendant la Seconde Guerre mondiale qui le pousseront à s’engager politiquement...","Italie, France","2009","Quinta Distribution","Long métrage","Anglais, Italien","28 000 000 EUR","22 933 entrées","Couleur","-",1.8,2.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=140592.html"
2010-06-16,145736,"Air Doll","Kûki Ningyô","16 juin 2010","2h 05min","Drame, Fantastique, Romance","Hirokazu Kore-eda","Hirokazu Kore-eda","Doona Bae, Itsuji Itao, Arata","Tokyo. Une poupée d’air habite l’appartement sordide d’un homme d’une quarantaine d’années. Elle ne peut ni parler, ni bouger, mais elle est la seule compagne de son propriétaire. Il lui parle, prend son bain avec elle, et lui fait l’amour chaque soir, en rentrant du travail. Mais un jour, le fantasme devient réalité : la poupée prend vie et développe des sentiments humains. Comme un nouveau-né, elle découvre un monde inconnu qu’elle aspire à découvrir.

Elle s’aventure alors dans les rues de la ville, fascinée par tout ce qu’elle voit, mais les gens qu’elle rencontre sont incapables de lui expliquer ce que veut dire “être en vie”... C’est en poussant la porte d’un vidéoclub qu’elle obtient enfin une réponse : elle fait la connaissance de Junichi, le vendeur, et tombe aussitôt amoureuse de lui. La poupée est embauchée au magasin et noue chaque jour des liens de plus en plus forts avec Junichi : ils vont ensemble au cinéma et sillonnent la ville ... comme un couple.

La poupée est parfaitement heureuse jusqu’au jour où elle se coupe la main par accident et se met à dégonfler devant Junichi...","Japon","2009","Océan Films","Long métrage","Japonais","-","8 898 entrées","Couleur","126543",2.8,3.6,"https://www.allocine.fr/film/fichefilm_gen_cfilm=145736.html"
2010-06-16,135491,"Eyes of War","Triage","16 juin 2010","1h 36min","Drame, Guerre","Danis Tanovic","Danis Tanovic","Colin Farrell, Christopher Lee, Paz Vega","Photographes de guerre chevronnés, Mark et David sont en mission au Kurdistan. Tandis que le premier décide de rester sur place quelques jours encore en quête du cliché susceptible de le rendre célèbre, le second ne supporte plus la violence et le désespoir quotidiens. Surtout, il veut rentrer pour retrouver sa femme Diane, qui attend un enfant.

Grièvement blessé, Mark échoue dans un hôpital de campagne, avant d'être rapatrié à Dublin, où il apprend que David, lui, a disparu…","France, Belgique, Espagne, Irlande","2009","Bac Films","Long métrage","Anglais, Français, Kurde, Espagnol, Swahili","-","40 367 entrées","Couleur","-",2.5,3.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=135491.html"
2010-06-16,180603,"Année Bissextile","Año bisiesto","16 juin 2010","1h 34min","Drame, Erotique","Michael Rowe (III)","Lucía Carreras, Michael Rowe (III)","Mónica Del Carmen, Gustavo Sánchez Parra, Marco Zapata","Laura a 25 ans. Elle est journaliste, célibataire et habite un petit appartement à Mexico.

Après une longue série d'aventures sans lendemain, Laura rencontre Arturo. La première fois qu'ils font l'amour, Arturo a pour Laura des gestes qui la bouleversent. Ils débutent une relation intense, passionnelle et sexuelle, où plaisir, douleur et amour se mêlent.

Au fil des jours, qu'elle raye consciencieusement sur son calendrier, le passé secret de Laura refait surface, poussant Arturo à l'extrême.","Mexique","2010","Pyramide Distribution","Long métrage","Espagnol","-","30 506 entrées","Couleur","126435",3.2,2.4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=180603.html"
2010-06-16,171820,"Orpailleur",NA,"16 juin 2010","1h 30min","Aventure, Thriller","Marc Barrat","Marc Barrat, Apsita Berthelot","Tony Harrisson, Julien Courbey, Sara Martins","18 ans après avoir quitté sa terre natale, Rod, jeune Parisien d´origine guyanaise, rentre au pays suite à la disparition de son frère aîné. Gonz, son ami d´enfance des cités, fait partie du voyage. À Cayenne, la révélation d´un douloureux secret de famille pousse Rod dans une quête effrénée de vérité. Il fait la connaissance de Yann, une jeune guide de tourisme écologique très remontée contre les méfaits de l’orpaillage clandestin. Tous les trois seront dès lors pris dans un engrenage, entraînés au bout fleuve, au coeur de la forêt amazonienne, dans le milieu hostile et archaïque des orpailleurs clandestins...","France","2009","Rezo Films","Long métrage","Français","-","1 731 entrées","Couleur","118440",2.3,2.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=171820.html"
2010-06-16,177906,"Un Transport en commun",NA,"16 juin 2010","0h 48min","Drame","Dyana Gaye","Dyana Gaye","Umban Gomez de Kset, Mbègne Kassé, Anne Jeanine Barboza","Dakar, Sénégal. C'est la fin de l'été. Le temps d'un voyage de Dakar à Saint-Louis, les passagers d'un taxi-brousse croisent leurs destins et se racontent en chansons.","France, Sénégal","2009","Shellac","Court-métrage","Français, Wolof","-","2 339 entrées","Couleur","117873",3.7,3.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=177906.html"
