semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2025-09-10,1000009772,Libre échange,Splitsville,10 septembre 2025,1h 40min,"Comédie, Romance",Michael Angelo Covino,"Kyle Marvin, Michael Angelo Covino","Michael Angelo Covino, Dakota Johnson, Adria Arjona","Alors que sa femme vient de demander le divorce, Carey court chercher du soutien auprès de ses amis, Julie et Paul. Il découvre alors que le secret de leur bonheur est qu'ils sont en couple libre.",U.S.A.,2025,Metropolitan FilmExport,Long métrage,Anglais,-,38 932 entrées,Couleur,165542,3.2,2.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000009772.html
2025-09-10,317783,Sirāt,Sirât,10 septembre 2025,1h 54min,Drame,Oliver Laxe,"Oliver Laxe, Santiago Fillol","Sergi López, Bruno Núñez Arjona, Richard Bellamy","Au cœur des montagnes du sud du Maroc, Luis, accompagné de son fils Estéban, recherche sa fille aînée qui a disparu. Ils rallient un groupe de ravers en route vers une énième fête dans les profondeurs du désert. Ils s’enfoncent dans l’immensité brûlante d’un miroir de sable qui les confronte à leurs propres limites.","Espagne, France",2025,Pyramide Distribution,Long métrage,Espagnol,-,750 780 entrées,Couleur,153272,4.3,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=317783.html
2025-09-10,304976,Connemara,,10 septembre 2025,1h 55min,Drame,Alex Lutz,"Alex Lutz, Amélia Guyader","Mélanie Thierry, Bastien Bouillon, Jacques Gamblin","Issue d'un milieu modeste, Hélène a quitté depuis longtemps les Vosges. Aujourd'hui, elle a la quarantaine. Un burn-out brutal l’oblige a quitter Paris, revenir là où elle a grandi, entre Nancy et Epinal. Elle s'installe avec sa famille, retrouve un bon travail, la qualité de vie en somme… Un soir, sur le parking d’un restaurant franchisé, elle aperçoit un visage connu, Christophe Marchal, le bel Hockeyeur des années lycées. Christophe, ce lointain objet de désir, une liaison qu'Hélène n'avait pas vue venir... Dans leurs étreintes, ce sont deux France, deux mondes désormais étrangers qui rêvent de s’aimer. Cette idylle, cette île leur sera-t-elle possible ?",France,2025,StudioCanal,Long métrage,Français,-,249 873 entrées,Couleur,163588,3,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=304976.html
2025-09-10,309613,Conjuring : l’heure du jugement,The Conjuring: Last Rites,10 septembre 2025,2h 15min,Epouvante-horreur,Michael Chaves,"David Leslie Johnson-McGoldrick, Richard Naing","Vera Farmiga, Patrick Wilson, Mia Tomlinson","Alors qu’ils espéraient une nouvelle vie, Ed et Lorraine Warren se voient impliqués dans une dernière enquête…qu’ils n’auraient jamais dû accepter. Dans la maison de la famille Smurl, un mal ancien les attend. Un ennemi qu’ils croyaient à jamais enfoui... Découvrez comment les Warren ont affronté le cas le plus maléfique de leur carrière, inspiré de faits réels qui ont terrorisé l’Amérique.",U.S.A.,2025,Warner Bros. France,Long métrage,Anglais,-,2 293 705 entrées,Couleur,165414,2.7,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=309613.html
2025-09-10,328395,Downton Abbey III : le grand final,Downton Abbey: The Grand Finale,10 septembre 2025,2h 04min,"Drame, Historique",Simon Curtis,Julian Fellowes,"Michelle Dockery, Hugh Bonneville, Laura Carmichael","Le retour tant attendu au cinéma du phénomène mondial nous replonge dans l’univers de la famille Crawley et de son personnel à l’aube des années 1930. Alors que chacun tente de faire évoluer Downton Abbey avec son temps, une nouvelle ère s’annonce, pleine de défis, de remises en question et d’espoirs.","Grande-Bretagne, U.S.A.",2025,Universal Pictures International France,Long métrage,Anglais,-,518 403 entrées,Couleur,-,3.1,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=328395.html
2025-09-10,320703,Une place pour Pierrot,,10 septembre 2025,1h 39min,Comédie dramatique,Hélène Medigue,"Hélène Medigue, Stéphane Cabel","Marie Gillain, Grégory Gadebois, Patrick Mille","Pierrot, 45 ans, est autiste et vit dans un foyer médicalisé. Déterminée à lui offrir une vie digne, sa sœur Camille le prend chez elle et se met en quête d’un endroit mieux adapté à sa différence. Le chemin est long mais c’est la promesse d’une nouvelle vie, au sein de laquelle chacun trouvera sa place.",France,2025,Diaphana Distribution,Long métrage,Français,-,130 840 entrées,Couleur,157583,3.2,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=320703.html
2025-09-10,1596,Eve,All about Eve,27 avril 1951,2h 18min,Drame,Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders","Grâce à sa superbe interprétation dans une pièce de théâtre, l'actrice Eve Harrington reçoit une récompense. A cette occasion, tout le monde se souvient de ses débuts, comment elle a réussi à supplanter une actrice sur le déclin, Margo Channing, et à séduire un critique, Addison de Witt.",U.S.A.,1950,Les Acacias,Long métrage,Anglais,-,,N&B,11206,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1596.html
2025-09-10,293839,Spermageddon,,11 septembre 2025,1h 20min,"Animation, Comédie, Comédie musicale","Tommy Wirkola, Rasmus A. Sivertsen","Tommy Wirkola, Jesper Sundnes","Christian Mikkelsen, Nasrin Khusrawi, Aksel Hennie","Chaque jour, des millions de spermatozoïdes sont voués à finir… dans un mouchoir. Parmi eux, Simonce et ses camarades, vivent dans le corps de Jens, un adolescent maladroit qui s’apprête à faire sa première fois. Bien décidés à atteindre l’objectif de leur vie, l’ovule, ils se lancent dans une course effrénée qui s’avère plus compliquée que prévue. A la fin, il n’en restera qu’un.",Norvège,2024,Originals Factory,Long métrage,Norvégien,-,,Couleur,-,,1.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=293839.html
2025-09-10,1000006713,Toujours possible,,10 septembre 2025,1h 30min,Comédie,Jacques Ouaniche,Jacques Ouaniche,"Nadia Farès, Amanda Lear, Patrick Ridremont","À 55 ans, Gaby, biologiste, perd son job…et gagne une idée folle : avoir un enfant ! Avec sa mère fantasque et un fichier de donneurs, elle traque le sperme parfait, tandis que Pierre, 56 ans, tente de rajeunir à tout prix pour séduire. Mais l’amour pourrait bien prouver que tout reste… toujours possible !",France,2024,Star Invest Films France,Long métrage,Français,-,,Couleur,162219,,2.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000006713.html
2025-09-10,327943,Renoir,,10 septembre 2025,1h 59min,Drame,Chie Hayakawa,Chie Hayakawa,"Yui Suzuki, Lily Franky, Hikari Ishida","Tokyo, 1987. Fuki, 11 ans, vit entre un père hospitalisé et une mère débordée et absente. Un été suspendu commence pour Fuki, entre solitude, rituels étranges et élans d’enfance. Le portrait d’une fillette à la sensibilité hors du commun, qui cherche à entrer en contact avec les vivants, les morts, et peut-être avec elle-même.","Japon, France, Singapour, Philippines, Indonésie, Qatar",2025,Eurozoom,Long métrage,Japonais,-,25 695 entrées,Couleur,162335,3.3,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=327943.html
