semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url,annee
1989-10-25,31357,La révolution française,,1792-08-10,5h 24min,"Drame, Historique","Robert Enrico, Richard T. Heffron",David Ambrose,"Klaus Maria Brandauer, François Cluzet, Jean-François Balmer","L'histoire de la Révolution française en deux parties : la première partie regroupe les évènements de 1789 au 10 août 1792, quand le roi Louis XVI est jeté en prison, tandis que la seconde partie nous emmène jusqu'à la fin de la Terreur en 1794, avec les exécutions de Louis XVI, Marie-Antoinette, Danton et Desmoulins...","Grande-Bretagne, Espagne, France, Italie, Allemagne, Canada",1989,-,Long métrage,Anglais,-,,Couleur,-,,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=31357.html,1792
2023-11-01,131136,Ceux de chez nous,"",1915-11-22,0h 21min,Documentaire,Sacha Guitry,"","Sacha Guitry, Sarah Bernhardt, Anatole France","En réponse aux attaques des intellectuels allemands, Sacha Guitry filme les grandes figures culturelles françaises et répète leurs propos. Rodin, Rostand, Saint-Saëns, Degas, Sarah Bernhardt, maître Henri Robert ou Anatole France figurent parmis les quelques grands noms qui passent devant la caméra.",France,1915,Les Acacias,Long métrage,Silencieux,-,"",N&B,108245,,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=131136.html,1915
2019-07-10,2255,Le Kid,The Kid,1921-02-06,0h 52min,Comédie,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Jackie Coogan, Edna Purviance","Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...",U.S.A.,1921,MK2 Cinémas,Long métrage,Silencieux,250 000 USD,"",N&B,19209,4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2255.html,1921
2017-01-18,7362,Le Chemin d'Ernoa,"",1921-08-04,0h 50min,Comédie dramatique,Louis Delluc,"","Jacqueline de Marichalar, Eve Francis, Gaston Jaquet","Etchégor, un riche paysan basque est épris d'une belle Américaine, Majesty Parnell. Le mari de celle-ci semble favoriser ses avances car, sur le point d'être arrêté pour vol, il voudrait se forger un alibi avec sa complicité. Etchégor favorise la fuite de Parnell en Espagne et tente de prendre sa place dans le coeur de Majesty. Mais celle-ci, reprise par son premier amour, quitte Etchégor et part rejoindre son mari. Particulièrement attaché à la lumière, aux paysages et au folklore du Pays Basque, Delluc choisit ce lieu de tournage qui se prête magnifiquement à la volonté du réalisateur de sortir du studio pour tourner en décor naturel.",France,1921,Les Documents Cinématographiques,Long métrage,Silencieux,-,"",N&B,-,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=7362.html,1921
2017-01-18,4846,Fièvre,"",1921-09-24,0h 43min,Romance,Louis Delluc,"","Edmond van Daele, Gaston Modot, Eve Francis","Dans un cabaret populaire du Vieux-Port de Marseille, le patron Topinelli et sa femme Sarah

remplissent les verres des matelots. Parmi ceux-ci se trouve Militis, l’amant qui avait autrefois

abandonné Sarah, avant qu’elle n’épouse Topinelli. Les filles de joie accourent, l’alcool coule à flot et la

fièvre monte. Les deux anciens amants « croient s'être oubliés, ils se retrouvent, calmes, mais la fièvre

d'un soir de désordre réveille tous les appétits, les rêves, les rancoeurs de leurs partenaires… » (Delluc)",France,1921,Les Documents Cinématographiques,Moyen-métrage,Silencieux,-,"",N&B,145804,,2.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=4846.html,1921
2014-12-03,2186,Le Cabinet du docteur Caligari,Das Cabinet des Dr. Caligari,1922-03-15,1h 17min,"Drame, Fantastique, Thriller",Robert Wiene,"Hans Janowitz, Carl Mayer","Werner Krauss, Conrad Veidt, Lil Dagover","Une fête foraine plante ses attractions dans la petite ville allemande d'Holstenwall. Un étrange vieillard, le docteur Caligari, entend y exhiber un jeune somnambule, Cesare, dont il monnaie les dons de voyant. Mais Caligari n'obtient pas de l'administration l'autorisation qu'il lui demandait. Le lendemain, le fonctionnaire responsable de cette humiliation est retrouvé mort. Le soir même, Cesare prédit à un jeune homme qu'il ne verra pas la fin de la nuit. Sa prédiction se réalise. Bouleversé, l'ami du défunt, Francis, se met à surveiller Caligari, qu'il suspecte du meurtre...",Allemagne,1920,MK2 Diffusion,Long métrage,Allemand,20 000,,N&B,31203,,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=2186.html,1922
2019-05-01,6125,Les Trois Lumieres,Der mude Tod,1922-06-16,1h 38min,"Drame, Fantastique",Fritz Lang,"Thea von Harbou, Fritz Lang","Lil Dagover, Walter Janssen, Bernhard Goetzke","Un jeune couple fait halte dans une auberge. Un mystérieux voyageur, dont on murmure qu'il possède un terrain entouré d'un mur, aux abords d'un cimetière, emmène le jeune homme. Sa compagne désespérée tente de le suivre à l'intérieur de cet étrange enclos, mais ne peut y trouver une ouverture. La Mort lui apparaît alors et lui promet de lui rendre son fiancé si, transportée avec lui dans trois époques différentes, elle parvient à lui sauver la vie une fois. Voilà la jeune femme projetée à Bagdad, puis à Venise sous la Renaissance et enfin en Chine, dans le palais de l'Empereur. Mais la Mort est toujours victorieuse. La Faucheuse propose alors un second marché...",Allemagne,1921,Films sans Frontières,Long métrage,Silencieux,-,"",N&B,31208,,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=6125.html,1922
2017-01-18,4847,La Femme de nulle part,"",1922-09-08,1h 01min,Drame,Louis Delluc,Louis Delluc,"Eve Francis, Gine Avril, Noemie Scize","Non loin de Gênes, une jeune femme s’apprête à quitter mari et enfant pour suivre son amant. Une femme âgée, lasse et meurtrie, arrive dans cette propriété qu’elle a jadis occupée. Pèlerinage douloureux à la recherche du bonheur perdu car les souvenirs qui la submergent sont autant de déchirements.",France,1922,Les Documents Cinématographiques,Long métrage,Silencieux,-,"",N&B,145805,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=4847.html,1922
2022-10-26,2342,Nosferatu le vampire,"Nosferatu, eine Symphonie des Grauens",1922-10-27,1h 34min,Epouvante-horreur,F.W. Murnau,Henrik Galeen,"Max Schreck, Greta Schroeder, Gustav von Wangenheim","En 1838, Thomas Hutter, commis d’agent immobilier, quitte sa jeune femme Ellen pour le château du comte Orlok dans les Carpates. Là-bas, Hutter découvre que le comte est en fait Nosferatu le vampire et est victime des morsures répétées du monstre. Celui-ci quitte son château dans un cercueil rempli de terre et, après un voyage en voilier au cours duquel il décime l'équipage terrorisé, va prendre livraison de sa nouvelle demeure, située face à celle de Hutter et Ellen…",Allemagne,1922,MK2 Films,Long métrage,Allemand,-,"",N&B,31210,,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2342.html,1922
2017-01-18,4848,L'Inondation,"",1924-05-09,1h 28min,Comédie dramatique,Louis Delluc,André Corthis,"Eve Francis, Ginette Maddie, Edmond van Daele","Dans un village en bord du Rhône, Alban, jeune fermier, s’apprête à épouser Margot. Monsieur Broc, employé de mairie, retrouve sa fille Germaine, éprise d’Alban. Lorsque celui-ci l’éconduit, elle s’effondre. La crue du fleuve inonde subitement le village. Un soir Margot disparaît… Ce drame paysan, adapté d'un roman d'André Corthis et tourné pendant une crue réelle du Rhône, sera le dernier film de Delluc. La folie des hommes fait ici écho à la fureur de la nature, dans des images émouvantes qui magnifient une Provence submergée d'eau et de brume.",France,1923,Les Documents Cinématographiques,Long métrage,Silencieux,-,"",N&B,111592,,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=4848.html,1924
