tmdb_id,imdb_id,titre,titre_original,langue_originale,date_sortie,synopsis,tagline,duree,budget,revenue,popularite,note_tmdb,nb_votes_tmdb,statut,homepage,poster,backdrop,genres,pays,langues,production
234,tt0010323,Le Cabinet du docteur Caligari,Das Cabinet des Dr. Caligari,de,1920-02-27,"Dans une fête foraine, un mystérieux docteur prédit un avenir tragique à un jeune étudiant...","",77,18000,8811,3.9785,7.933,1821,Released,"",/wFx5owClXBBLIVt4nMAoUQ4yy3t.jpg,/sLq72hBx8Xs2IISVsZJqgjOd31b.jpg,"Drame, Horreur, Thriller, Crime",DE,xx,Decla Film Gesellschaft Holz & Co.
54539,tt0015014,L'Inhumaine,L'Inhumaine,fr,1924-12-12,Une grande cantatrice d'avant-garde très entourée est réputée pour son insensibilité vis-a-vis des hommes qui la comblent pourtant d'attentions. Un jeune ingénieur veut lui faire prendre conscience de son inhumanité.,"",121,0,0,2.0748,6.9,35,Released,"",/fLTe2kI5k6CHXOPlpRTdmRxNl4q.jpg,/j6Ykk5e99SxhzwXWV97ysvuRACm.jpg,"Drame, Science-Fiction",FR,xx,Cinégraphic
19,tt0017136,Metropolis,Metropolis,de,1927-01-10,"En 2026, une métropole à l’architecture fantastique vit sous le joug d’un groupe de tyrans. Les aristocrates se prélassent et se divertissent dans de somptueuses demeures et de luxuriants jardins, tandis que la grande masse de la population travaille, dort et survit durement dans les profondeurs de la terre. Le fils du maître de la ville découvre avec effarement l’existence du monde souterrain, où se rencontrent en secret les ouvriers, peu enclins à supporter pour toujours leur situation. Pendant ce temps, un savant invente une femme‐robot qui doit détourner les opprimés de leur révolte…",Il ne peut y avoir de compréhension entre les mains et le cerveau que si le cœur agit comme médiateur.,150,5300000,1350322,8.2689,8.085,3198,Released,"",/vHDWZOpupmKB7iNuiWFqnUSjfmN.jpg,/eeMoFKxjjiCi6iep2GEZtSAMYIr.jpg,"Drame, Science-Fiction",DE,xx,UFA
28966,tt0018578,Les Ailes,Wings,en,1927-08-12,Deux jeunes pilotes amoureux de la meme femme s'engagent dans l'armee de l'air durant la Premiere Guerre mondiale.,"",150,2000000,3600000,3.4588,7.234,344,Released,"",/kEl6KCBgdmT1Nex3ka0EIWAOmtm.jpg,/u90ajspDd9911ISbx74rtofQZfO.jpg,"Drame, Action, Guerre, Romance",US,xx,Paramount Famous Lasky Corporation
228,tt0020697,L'Ange bleu,Der blaue Engel,de,1930-04-01,Un professeur très autoritaire sombre dans la déchéance en succombant à la passion dévastatrice qu'il éprouve pour une chanteuse de cabaret…,"Vous aussi, vous serez excité par sa beauté enivrante ! « Cette femme fait d’un homme digne, un esclave de l’amour ! »",108,0,0,3.9259,7.298,379,Released,"",/umzwaRkKeXeV3uyuufG7396Llck.jpg,/jLvlD6ABDESFfYl3F1TqCoiBaig.jpg,Drame,DE,de,UFA
26614,tt0021739,La Chienne,La Chienne,fr,1931-11-01,"Employé effacé et peintre amateur, marié à une femme qui le déteste, Maurice Legrand, tombe éperdument amoureux de Lulu, qu'il rencontre à Montmartre. Celle-ci est sous la protection de Dédé, un petit souteneur brutal, dont elle est le gagne-pain. Celui-ci la pousse à avoir une relation avec Legrand, qui en vient à l'entretenir. Dédé, toujours en manque d'argent commence à vendre les toiles de Legrand, faisant croire qu'elles sont peintes par Lulu. Cette dernière va abuser de la crédulité de Legrand et provoquer sa déchéance…","",91,0,0,1.448,7.314,140,Released,"",/8LrxwVefTxDnOf9jnG6e29V6jMq.jpg,/hiaZPun8bezhRcY8rFJEtRE8PG.jpg,"Drame, Crime",FR,fr,Les Établissements Braunberger-Richebé
26845,tt0023551,"Tarzan, l'homme singe",Tarzan the Ape Man,en,1932-03-22,"James Parker et Harry Holt partent dans la jungle africaine pour mettre au jour un cimetière d'éléphants. L'ivoire ainsi récolté leur assurera la richesse. Jane, la fille de Parker, est de l'expédition. Elle ne tarde pas à rencontrer Tarzan, l'homme singe, dont elle tombe amoureuse.",Il ne connaît que la loi de la jungle,96,652675,0,3.4786,6.6,235,Released,"",/6P8BiM7gN2EtZa4jchceWH4Bh6T.jpg,/uudJ8er8FaDBNIVRBS2psG6cSsO.jpg,Aventure,US,en,Metro-Goldwyn-Mayer
48365,tt0022718,Boudu sauvé des eaux,Boudu sauvé des eaux,fr,1932-11-11,"Boudu, clochard parisien, se jette à la Seine. Repêché par un libraire aux idées libérales, il sème l'anarchie dans la famille.","",93,0,0,1.2459,6.9,158,Released,"",/mV3Pyvsf1S0l0u4UOiWMFlw5JFj.jpg,/f2xs9gITz87n72jm6b04o6SZPqr.jpg,Comédie,FR,fr,"Les Établissements Jacques Haïk, Les Productions Michel Simon, Crédit Cinématographique Français (CCF)"
877,tt0023427,Scarface,Scarface,en,1932-04-09,"Chicago, au temps de la prohibition. Un petit malfrat, l'ambitieux Tony Camonte, tue son patron et devient le garde du corps de Lovo, chef du gang rival. Amoureux de Poppy, la petite amie de Lovo, il veille jalousement sur sa soeur Cesca, lui interdisant toute liaison sentimentale. Avec son complice Guido Rinaldo, Tony prend peu à peu le pouvoir au sein du gang de Lovo.","",93,800000,600000,3.876,7.408,715,Released,"",/vZItqb9aJrZFw0OC8DuLtKjQPCG.jpg,/bIv1kaxb7tsiZYPO27PHfVb5eSF.jpg,"Crime, Action, Drame, Thriller",US,"en, it","The Caddo Company, United Artists"
244,tt0024216,King Kong,King Kong,en,1933-04-07,"Figurante sans travail, la blonde Ann Darrow est engagée par le réalisateur Carl Denham pour être la vedette de son prochain film. Le Venture, le navire commandé par le capitaine Englehorn et qui comprend toute l'équipe, atteint Skull Island, une île mystérieuse où vivrait une créature légendaire vénérée par les indigènes et appelée King Kong.Durant le voyage, Ann tombe amoureuse de John Driscoll, le second du bateau. Une fois débarqués, les explorateurs sont aussitôt repérés par les indigènes et font marche arrière. Mais ces derniers enlèvent Ann, la """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""femme aux cheveux d'or"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", et l'attachent pour l'offrir en sacrifice à King Kong.Au moment où ses compagnons arrivent pour la délivrer, un singe gigantesque saisit la jeune fille et disparaît dans la forêt. Denham et ses hommes se lancent alors à la poursuite de King Kong.","",104,672000,10001781,6.2408,7.585,1665,Released,"",/pFStqHTVUceciD9vineiNJ9WHpA.jpg,/lYfHa1AtkUMtplrKx7SRLHpwonW.jpg,"Aventure, Fantastique, Horreur",US,en,RKO Radio Pictures
